D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0001.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0001.nii.gz,220,171,171
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0002.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0002.nii.gz,208,184,184
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0003.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0003.nii.gz,297,230,230
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0004.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0004.nii.gz,210,152,152
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0005.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0005.nii.gz,176,232,232
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0006.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0006.nii.gz,196,180,180
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0007.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0007.nii.gz,244,192,192
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0008.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0008.nii.gz,222,186,186
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0009.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0009.nii.gz,186,250,250
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0010.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0010.nii.gz,222,200,200
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0021.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0021.nii.gz,214,175,175
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0022.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0022.nii.gz,222,196,196
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0023.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0023.nii.gz,240,181,181
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0024.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0024.nii.gz,186,176,176
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0025.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0025.nii.gz,212,213,213
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0026.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0026.nii.gz,328,200,200
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0027.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0027.nii.gz,220,199,199
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0028.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0028.nii.gz,222,204,204
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0029.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0029.nii.gz,150,224,224
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0030.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0030.nii.gz,230,190,190
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0031.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0031.nii.gz,140,214,214
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0032.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0032.nii.gz,216,190,190
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0033.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0033.nii.gz,260,208,208
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0034.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0034.nii.gz,245,172,172
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0035.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0035.nii.gz,235,236,236
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0036.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0036.nii.gz,276,191,191
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0037.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0037.nii.gz,248,180,180
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0038.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0038.nii.gz,250,250,250
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0039.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0039.nii.gz,225,250,250
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0040.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0040.nii.gz,292,190,190
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0061.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0061.nii.gz,207,175,175
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0062.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0062.nii.gz,225,242,242
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0063.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0063.nii.gz,238,204,204
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0064.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0064.nii.gz,238,199,199
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0065.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0065.nii.gz,228,187,187
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0066.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0066.nii.gz,256,214,214
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0067.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0067.nii.gz,260,214,214
D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\img\img0068.nii.gz,D:\Projects\OrgansSegment\SegWithPatch\samples\BTCV\Training\label\label0068.nii.gz,215,180,180
